Method,Trial,P10_Throughput,Avg_Throughput,Avg_Sleeping_Sectors,Avg_Energy_Efficiency
Liang et al.,11,0.3052626966100946,1.0682636077541277,53.04,1.327876207434678
Liang et al.,12,0.09825099466290495,0.9185259505219736,53.65,1.2654851012296584
Liang et al.,13,0.25505561240774316,1.1234816212972207,52.84,1.3440778334786432
Liang et al.,14,0.5741903354892233,1.5151348518520127,51.49,1.3578820375642016
Liang et al.,15,0.06855305879314255,0.9298103737548591,53.62,1.2787668892460178
Liang et al.,16,0.5075947425950545,1.1461733748879168,52.72,1.3707928076300582
Liang et al.,17,0.22682729679050873,1.0285144966787636,53.19,1.3693100992306853
Liang et al.,18,0.4027964131979775,1.0902585412744505,52.95,1.055394080879624
Liang et al.,19,0.18757007302973844,0.9859670232994324,53.31,1.2884489785154185
IT-QoS-LB,0,0.008343560363224492,0.12978857161501625,57.0,4.64938092008563
IT-QoS-LB,1,0.009264801150816616,0.1156408964871533,57.0,4.142572577990848
IT-QoS-LB,2,0.008343560363224492,0.1334536622254627,57.0,4.780674470377104
IT-QoS-LB,3,0.009264801150816616,0.13799670200472067,57.0,4.943418556439824
IT-QoS-LB,4,0.006534753103396707,0.07433309065804605,57.0,2.6628142149653575
IT-QoS-LB,5,0.009264801150816616,0.12412269265521456,57.0,4.446413669553311
IT-QoS-LB,6,0.009264801150816616,0.13167297749324755,57.0,4.716885482520708
IT-QoS-LB,7,0.009264801150816616,0.12834566622290322,57.0,4.597692110230486
IT-QoS-LB,8,0.008343560363224492,0.13222283032144044,57.0,4.736582711763961
IT-QoS-LB,9,0.009264801150816616,0.1334862609229132,57.0,4.78184224470469
IT-QoS-LB,10,0.009264801150816616,0.1263497413915021,57.0,4.5261926344787415
IT-QoS-LB,11,0.009264801150816616,0.13148582448043927,57.0,4.7101811507289355
IT-QoS-LB,12,0.009264801150816616,0.1183965606556703,57.0,4.241287990664242
IT-QoS-LB,13,0.009264801150816616,0.13138789781993537,57.0,4.706673150438548
IT-QoS-LB,14,0.009264801150816616,0.13099413869447732,57.0,4.692567623717407
IT-QoS-LB,15,0.008343560363224492,0.12155170772053266,57.0,4.354313971156178
IT-QoS-LB,16,0.009264801150816616,0.13732129914418628,57.0,4.919223782323239
IT-QoS-LB,17,0.009264801150816616,0.13789357388866297,57.0,4.939724225813048
IT-QoS-LB,18,0.009858388720800294,0.07567147825378435,57.0,2.7107589120513444
IT-QoS-LB,19,0.009264801150816616,0.125963174380097,57.0,4.512344748915346
SM1,0,1.0311392268157396,3.967589689200535,41.65,1.3805707562402112
SM1,1,1.0807609403154015,4.317159306266243,41.12,1.305544571772463
SM1,2,1.114247659647427,4.701677124262311,38.81,1.3918712237788315
SM1,3,1.0982475187455156,4.765300329182644,39.12,1.4007026948868972
SM1,4,0.9821235585251569,3.668371551153492,42.79,1.0691278167515728
SM1,5,0.9924342895242922,4.051823717323053,42.43,1.330555401599211
SM1,6,1.2296260777626598,4.687019151107088,39.68,1.3984210137005402
SM1,7,0.9924342895242922,4.266846613786173,40.72,1.3560270957900105
SM1,8,1.1666032795238452,4.011034844411344,41.99,1.3753965359958746
SM1,9,1.427353970845057,4.805156623543628,38.18,1.3813698747955494
SM1,10,0.9924342895242922,2.796451921217253,46.47,1.3493039750036475
SM1,11,1.1105339661935412,3.679120296873241,42.61,1.3742073277740787
SM1,12,0.9924342895242922,4.305562407098898,41.18,1.3165171931660427
SM1,13,0.9917087936054233,3.4191339941884316,44.51,1.380527074677196
SM1,14,1.2578130891054369,5.2965713367276575,36.81,1.3932855285447558
SM1,15,1.0410635687344296,4.33147304461003,40.27,1.3265155771730897
SM1,16,0.9896540313466493,3.4201353771179845,44.13,1.4050702131055355
SM1,17,0.9924342895242922,3.5814562304593243,43.92,1.4071943824630162
SM1,18,0.9924342895242922,3.8145837474210023,42.39,1.0899738941869273
SM1,19,0.9924342895242922,4.217486247754862,41.51,1.3325230270081763
VDN,0,2.5689219896512587,7.234694325358419,19.0,1.5544917286329718
VDN,1,2.1712841308858026,6.953171404586803,19.0,1.3894814647178344
VDN,2,2.3085931845759666,7.29982365424015,19.0,1.5956858903576454
VDN,3,1.9464824073988265,7.135054395409797,19.0,1.6462066888856162
VDN,4,2.1419786787239548,7.324330332035234,19.0,0.9265537890357132
VDN,5,1.9333708747263119,6.962622900553221,19.0,1.4861150473034195
VDN,6,2.3368233573981403,7.10301598302548,19.0,1.5744418165279905
VDN,7,1.8382227511953395,6.906741768021238,19.0,1.5343649642787633
VDN,8,2.722152405673209,7.3004871480225395,19.0,1.5808339924824824
