episode,loss,reward,epsilon
1,2386241.463158828,1064.475,0.99
1,46709615.48497969,1064.475,0.99
1,29012340.709577862,1064.475,0.99
1,4248751.277472853,1064.475,0.99
1,12676955.094746547,1064.475,0.99
1,23808125.660931535,1064.475,0.99
1,20235286.054510567,1064.475,0.99
1,9634768.406722957,1064.475,0.99
1,350347.82857207686,571.425,0.99
1,2489930.910897906,1212.675,0.99
1,5496307.03430463,597.0749999999999,0.99
1,2225142.743630152,1161.375,0.99
1,1825260.986023358,1302.4499999999998,0.99
1,1117018.1924457946,1303.875,0.99
1,1744662.20382891,1457.775,0.99
1,2011884.524517575,738.1499999999999,0.99
1,1917018.5182595386,1425.0,0.99
1,4451421.167864421,736.7249999999999,0.99
1,219244.80779607123,722.4749999999999,0.99
1,1988717.3717947782,1416.45,0.99
1,2088821.2233458953,1479.15,0.99
1,436057.5094281309,936.2249999999999,0.99
1,1705735.0667401263,976.1249999999999,0.99
1,1810318.4490337984,1432.125,0.99
1,2580881.6236641724,923.3999999999999,0.99
1,1672266.4418411572,924.8249999999998,0.99
1,3209521.287577387,1416.45,0.99
1,1030870.7097532725,966.1499999999999,0.99
1,680795.8019344833,959.0249999999999,0.99
1,1739583.732487448,1623.0749999999998,0.99
1,684669.5294439781,1218.375,0.99
1,997460.0861384274,1710.0,0.99
1,1124798.1211244161,1292.475,0.99
1,2177792.7062065834,1705.725,0.99
1,4635973.715770239,1117.2,0.99
1,364674.8036179278,1219.7999999999997,0.99
1,1173283.7235789315,1631.625,0.99
1,865043.6674278196,1206.975,0.99
1,266189.7088042738,1208.3999999999999,0.99
1,274415.1777182667,1271.0999999999997,0.99
1,170869.75956836645,1152.8249999999998,0.99
1,1726973.6986705256,1769.85,0.99
1,718662.8280730494,1118.6249999999998,0.99
1,314878.08031121054,1178.475,0.99
1,502821.7654685582,1273.9499999999998,0.99
1,106584.6242298454,1222.6499999999999,0.99
1,1570320.9796069076,1697.175,0.99
1,786940.8272647911,1261.125,0.99
1,1713815.4587782745,1882.425,0.99
1,171829.11846829997,1477.7249999999997,0.99
1,231874.9517354985,1320.975,0.99
1,81288.2404640773,1363.725,0.99
1,582352.6995686586,1393.6499999999996,0.99
1,317240.662387913,1241.1749999999997,0.99
1,238270.9622938629,1365.1499999999996,0.99
1,231595.32442270458,1336.6499999999999,0.99
1,158220.49530208914,1405.0499999999997,0.99
1,693270.1484297068,1607.3999999999996,0.99
1,768806.208457386,1367.9999999999998,0.99
1,753801.8555708387,1490.5499999999997,0.99
1,382002.56224323635,1571.7749999999999,0.99
1,122513.93291368344,1577.4749999999997,0.99
1,186017.54584318778,1638.7499999999995,0.99
1,183275.27400120473,1558.9499999999998,0.99
1,371766.6051857561,1360.8749999999995,0.99
1,693167.4045157,1561.7999999999995,0.99
1,355888.2371700879,1520.4749999999995,0.99
1,441081.17645396275,1531.8749999999998,0.99
1,1322332.6156169751,2217.2999999999997,0.99
1,131867.01917041204,1598.8499999999997,0.99
1,205912.70891920535,1704.2999999999997,0.99
1,622559.1693438101,1470.5999999999997,0.99
1,239165.40085110482,1584.6,0.99
1,925191.2604270522,1698.6,0.99
1,297857.2890931709,1643.0249999999996,0.99
1,182826.15347807965,1598.85,0.99
1,1051546.8759504755,1728.5249999999996,0.99
1,118051.86246207838,1711.4249999999997,0.99
1,101798.1930020057,1658.6999999999998,0.99
1,265170.38069578446,1617.3749999999995,0.99
1,118217.34211720072,1700.0249999999999,0.99
1,480480.69089617033,1739.925,0.99
1,175126.94569155373,1752.75,0.99
1,1420183.566063912,2423.9249999999993,0.99
1,312075.92025370314,1829.6999999999996,0.99
1,1791130.4210801295,1784.0999999999997,0.99
1,199169.90611935093,1918.0499999999997,0.99
1,1015793.7264542853,2308.5,0.99
1,208475.9789722415,1902.3749999999998,0.99
1,108971.97206180419,1890.9749999999995,0.99
1,220647.99841016426,1975.0499999999997,0.99
1,442505.84663955227,1959.3749999999995,0.99
1,104481.4633795648,1945.1249999999998,0.99
1,266294.3431792181,2051.9999999999995,0.99
1,253900.3862031789,1784.1,0.99
1,227106.14499603614,2030.6249999999995,0.99
1,282030.62313108257,1889.5499999999995,0.99
1,607978.1635686697,1930.8749999999995,0.99
1,409181.5820575408,1932.2999999999997,0.99
1,258890.87774700022,2056.2749999999996,0.99
1,837638.581303014,2469.5249999999996,0.99
1,1908275.0234516845,1792.6499999999994,0.99
1,293028.349306175,1952.2499999999998,0.99
1,585035.146485819,1962.2249999999997,0.99
1,376219.6070967147,2133.2249999999995,0.99
1,364758.83543952275,1936.5749999999998,0.99
1,199083.0353925936,2004.9749999999995,0.99
1,696083.4214967177,2091.8999999999996,0.99
1,81600.73066930776,2187.3749999999995,0.99
1,352463.055237263,1815.4499999999996,0.99
1,309925.9799399025,2026.3499999999997,0.99
1,817760.2236451479,1863.8999999999996,0.99
1,182162.8174418192,1928.0249999999996,0.99
1,361911.6238673944,2113.2749999999996,0.99
1,327662.3541403993,1916.6249999999998,0.99
1,374210.0559326766,2086.2,0.99
1,163134.57148737425,2007.8249999999998,0.99
1,99504.49213291788,1933.725,0.99
1,998827.7348013506,2053.425,0.99
1,177136.6529556309,1994.9999999999995,0.99
1,71374.4985602668,1982.1749999999997,0.99
1,354637.01205920184,2120.4,0.99
1,218237.4210745813,1946.5499999999997,0.99
1,49439.37393216406,2111.85,0.99
1,357955.1210437326,1912.35,0.99
1,227775.53829644766,1950.8249999999998,0.99
1,118469.05929338017,2127.5249999999996,0.99
